policy_id,member_id,agent_id,carrier,plan_type,effective_date,expiry_date,monthly_premium,annual_premium,commission_rate,monthly_commission,status,term_months
POL0000130,MEM000131,AGT0062,MetLife,Dental Basic,2023-12-01,2024-06-01,29.86,358.32,0.18,5.37,cancelled,6
POL0000131,MEM000132,AGT0038,Zurich,Dental Premium,2024-09-01,2025-09-01,52.27,627.24,0.22,11.5,cancelled,12
POL0000132,MEM000133,AGT0002,Zurich,Dental+Vision Bundle,2024-12-01,2026-12-01,73.79,885.48,0.25,18.45,active,24
POL0000133,MEM000134,AGT0030,Zurich,Dental+Vision Bundle,2023-03-01,2024-03-01,74.66,895.92,0.25,18.66,expired,12
POL0000134,MEM000135,AGT0033,Zurich,Vision Premium,2023-09-01,2026-09-01,35.83,429.96,0.2,7.17,active,36
POL0000135,MEM000136,AGT0006,VSP,Vision Premium,2024-12-01,2025-12-01,34.56,414.72,0.2,6.91,expired,12
POL0000136,MEM000137,AGT0017,MetLife,Dental+Vision Bundle,2023-03-01,2024-03-01,75.66,907.92,0.25,18.91,active,12
POL0000137,MEM000138,AGT0026,MetLife,Vision Premium,2024-01-01,2025-01-01,33.3,399.6,0.2,6.66,cancelled,12
POL0000138,MEM000139,AGT0035,MetLife,Dental Premium,2024-02-01,2025-02-01,56.93,683.16,0.22,12.52,cancelled,12
POL0000139,MEM000140,AGT0015,VSP,Dental+Vision Bundle,2024-06-01,2026-06-01,77.74,932.88,0.25,19.43,active,24
POL0000140,MEM000141,AGT0072,VSP,Dental Basic,2023-06-01,2023-12-01,31.03,372.36,0.18,5.59,cancelled,6
POL0000141,MEM000142,AGT0069,MetLife,Vision Basic,2024-03-01,2027-03-01,19.15,229.8,0.16,3.06,expired,36
POL0000142,MEM000143,AGT0049,Zurich,Dental+Vision Bundle,2024-12-01,2025-12-01,75.17,902.04,0.25,18.79,cancelled,12
POL0000143,MEM000144,AGT0004,Zurich,Dental+Vision Bundle,2023-05-01,2026-05-01,78.23,938.76,0.25,19.56,active,36
POL0000144,MEM000145,AGT0029,Zurich,Dental Basic,2024-08-01,2025-08-01,29.93,359.16,0.18,5.39,active,12
POL0000145,MEM000146,AGT0015,MetLife,Dental Basic,2024-05-01,2025-05-01,29.47,353.64,0.18,5.3,cancelled,12
POL0000146,MEM000147,AGT0015,MetLife,Dental Basic,2023-03-01,2023-09-01,30.67,368.04,0.18,5.52,active,6
POL0000147,MEM000148,AGT0059,VSP,Vision Premium,2024-08-01,2025-02-01,33.58,402.96,0.2,6.72,active,6
POL0000148,MEM000149,AGT0020,VSP,Vision Premium,2024-08-01,2025-08-01,35.21,422.52,0.2,7.04,cancelled,12
POL0000149,MEM000150,AGT0005,Zurich,Dental Premium,2024-06-01,2025-06-01,53.8,645.6,0.22,11.84,active,12
POL0000150,MEM000151,AGT0047,MetLife,Dental+Vision Bundle,2024-04-01,2027-04-01,75.82,909.84,0.25,18.95,cancelled,36
POL0000151,MEM000152,AGT0008,VSP,Dental Premium,2024-02-01,2025-02-01,55.08,660.96,0.22,12.12,active,12
POL0000152,MEM000153,AGT0028,Zurich,Vision Basic,2023-06-01,2026-06-01,20.84,250.08,0.16,3.33,active,36
POL0000153,MEM000154,AGT0032,MetLife,Vision Premium,2023-02-01,2026-02-01,35.5,426.0,0.2,7.1,cancelled,36
POL0000154,MEM000155,AGT0027,Zurich,Dental Basic,2023-08-01,2024-08-01,30.61,367.32,0.18,5.51,cancelled,12
POL0000155,MEM000156,AGT0077,MetLife,Dental Premium,2023-09-01,2024-09-01,54.13,649.56,0.22,11.91,active,12
POL0000156,MEM000157,AGT0033,MetLife,Dental Basic,2023-06-01,2025-06-01,30.74,368.88,0.18,5.53,active,24
POL0000157,MEM000158,AGT0046,MetLife,Vision Basic,2023-02-01,2024-02-01,20.11,241.32,0.16,3.22,active,12
POL0000158,MEM000159,AGT0007,MetLife,Vision Premium,2023-02-01,2025-02-01,35.12,421.44,0.2,7.02,active,24
POL0000159,MEM000160,AGT0061,VSP,Vision Premium,2024-07-01,2025-07-01,34.8,417.6,0.2,6.96,active,12
POL0000160,MEM000161,AGT0058,Zurich,Dental Basic,2024-07-01,2025-01-01,28.88,346.56,0.18,5.2,active,6
POL0000161,MEM000162,AGT0039,VSP,Vision Basic,2024-10-01,2026-10-01,20.71,248.52,0.16,3.31,active,24
POL0000162,MEM000163,AGT0052,VSP,Vision Premium,2023-03-01,2025-03-01,36.74,440.88,0.2,7.35,active,24
POL0000163,MEM000164,AGT0011,VSP,Vision Basic,2024-06-01,2025-06-01,19.74,236.88,0.16,3.16,expired,12
POL0000164,MEM000165,AGT0080,Zurich,Vision Basic,2023-04-01,2024-04-01,20.57,246.84,0.16,3.29,cancelled,12
POL0000165,MEM000166,AGT0068,VSP,Vision Basic,2023-12-01,2025-12-01,19.49,233.88,0.16,3.12,cancelled,24
POL0000166,MEM000167,AGT0015,Zurich,Vision Premium,2024-10-01,2025-10-01,35.9,430.8,0.2,7.18,active,12
POL0000167,MEM000168,AGT0058,MetLife,Dental Premium,2024-08-01,2025-08-01,52.53,630.36,0.22,11.56,active,12
POL0000168,MEM000169,AGT0013,VSP,Dental Premium,2024-05-01,2025-05-01,54.17,650.04,0.22,11.92,active,12
POL0000169,MEM000170,AGT0020,Zurich,Dental+Vision Bundle,2024-12-01,2026-12-01,71.4,856.8,0.25,17.85,active,24
POL0000170,MEM000171,AGT0012,VSP,Dental Basic,2023-04-01,2025-04-01,29.81,357.72,0.18,5.37,active,24
POL0000171,MEM000172,AGT0008,Zurich,Dental+Vision Bundle,2024-02-01,2025-02-01,71.87,862.44,0.25,17.97,cancelled,12
POL0000172,MEM000173,AGT0053,VSP,Dental+Vision Bundle,2024-08-01,2025-08-01,71.25,855.0,0.25,17.81,active,12
POL0000173,MEM000174,AGT0077,VSP,Dental Premium,2024-04-01,2027-04-01,56.97,683.64,0.22,12.53,active,36
POL0000174,MEM000175,AGT0020,Zurich,Vision Basic,2024-09-01,2026-09-01,20.41,244.92,0.16,3.27,active,24
POL0000175,MEM000176,AGT0048,MetLife,Vision Premium,2023-05-01,2024-05-01,35.9,430.8,0.2,7.18,active,12
POL0000176,MEM000177,AGT0072,Zurich,Vision Basic,2024-09-01,2025-09-01,19.65,235.8,0.16,3.14,active,12
POL0000177,MEM000178,AGT0078,Zurich,Dental+Vision Bundle,2024-11-01,2027-11-01,76.84,922.08,0.25,19.21,active,36
POL0000178,MEM000179,AGT0035,Zurich,Vision Premium,2023-11-01,2024-11-01,34.22,410.64,0.2,6.84,cancelled,12
POL0000179,MEM000180,AGT0024,MetLife,Vision Basic,2024-01-01,2025-01-01,20.01,240.12,0.16,3.2,active,12
POL0000180,MEM000181,AGT0004,MetLife,Vision Premium,2024-03-01,2026-03-01,35.76,429.12,0.2,7.15,active,24
POL0000181,MEM000182,AGT0059,VSP,Dental Basic,2023-09-01,2024-09-01,30.51,366.12,0.18,5.49,active,12
POL0000182,MEM000183,AGT0077,MetLife,Dental+Vision Bundle,2023-12-01,2024-12-01,74.54,894.48,0.25,18.64,active,12
POL0000183,MEM000184,AGT0007,Zurich,Dental Basic,2023-07-01,2024-07-01,31.02,372.24,0.18,5.58,expired,12
POL0000184,MEM000185,AGT0078,VSP,Dental Premium,2024-04-01,2025-04-01,53.45,641.4,0.22,11.76,active,12
POL0000185,MEM000186,AGT0045,VSP,Dental Basic,2023-09-01,2024-09-01,29.33,351.96,0.18,5.28,active,12
POL0000186,MEM000187,AGT0068,Zurich,Dental Premium,2024-12-01,2025-12-01,54.59,655.08,0.22,12.01,cancelled,12
POL0000187,MEM000188,AGT0008,MetLife,Dental Basic,2023-09-01,2025-09-01,29.65,355.8,0.18,5.34,expired,24
POL0000188,MEM000189,AGT0038,VSP,Dental Basic,2023-09-01,2024-09-01,29.43,353.16,0.18,5.3,active,12
POL0000189,MEM000190,AGT0017,VSP,Vision Basic,2024-06-01,2025-06-01,20.81,249.72,0.16,3.33,expired,12
POL0000190,MEM000191,AGT0046,MetLife,Dental Premium,2023-09-01,2024-09-01,56.72,680.64,0.22,12.48,active,12
POL0000191,MEM000192,AGT0059,MetLife,Dental+Vision Bundle,2023-03-01,2024-03-01,77.04,924.48,0.25,19.26,active,12
POL0000192,MEM000193,AGT0052,Zurich,Vision Basic,2024-09-01,2025-09-01,19.56,234.72,0.16,3.13,active,12
POL0000193,MEM000194,AGT0003,VSP,Dental Basic,2023-11-01,2024-11-01,30.0,360.0,0.18,5.4,active,12
POL0000194,MEM000195,AGT0012,VSP,Dental+Vision Bundle,2024-10-01,2025-10-01,77.6,931.2,0.25,19.4,active,12
POL0000195,MEM000196,AGT0052,Zurich,Dental Basic,2023-10-01,2024-10-01,29.25,351.0,0.18,5.26,expired,12
POL0000196,MEM000197,AGT0043,MetLife,Dental Basic,2023-12-01,2024-06-01,30.75,369.0,0.18,5.54,active,6
POL0000197,MEM000198,AGT0066,MetLife,Dental+Vision Bundle,2024-11-01,2025-11-01,74.39,892.68,0.25,18.6,active,12
POL0000198,MEM000199,AGT0031,MetLife,Dental Basic,2024-01-01,2024-07-01,31.11,373.32,0.18,5.6,active,6
POL0000199,MEM000200,AGT0020,Zurich,Dental Basic,2023-08-01,2025-08-01,29.75,357.0,0.18,5.35,active,24
POL0000200,MEM000201,AGT0073,Zurich,Dental Premium,2024-11-01,2025-11-01,54.69,656.28,0.22,12.03,active,12
POL0000201,MEM000202,AGT0020,VSP,Dental Basic,2024-09-01,2025-03-01,29.44,353.28,0.18,5.3,active,6
POL0000202,MEM000203,AGT0076,MetLife,Dental Premium,2024-04-01,2025-04-01,56.51,678.12,0.22,12.43,active,12
POL0000203,MEM000204,AGT0058,MetLife,Dental Basic,2023-04-01,2024-04-01,30.86,370.32,0.18,5.55,cancelled,12
POL0000204,MEM000205,AGT0079,Zurich,Vision Basic,2023-11-01,2024-05-01,20.69,248.28,0.16,3.31,cancelled,6
POL0000205,MEM000206,AGT0006,VSP,Dental+Vision Bundle,2024-05-01,2026-05-01,74.03,888.36,0.25,18.51,active,24
POL0000206,MEM000207,AGT0078,VSP,Vision Basic,2024-09-01,2025-09-01,19.47,233.64,0.16,3.12,active,12
POL0000207,MEM000208,AGT0044,Zurich,Dental Basic,2023-04-01,2024-04-01,29.22,350.64,0.18,5.26,pending,12
POL0000208,MEM000209,AGT0032,Zurich,Dental Premium,2024-11-01,2026-11-01,55.84,670.08,0.22,12.28,active,24
POL0000209,MEM000210,AGT0079,MetLife,Dental Premium,2024-04-01,2025-04-01,57.49,689.88,0.22,12.65,expired,12
POL0000210,MEM000211,AGT0044,Zurich,Vision Basic,2023-11-01,2025-11-01,19.25,231.0,0.16,3.08,active,24
